Date,open,high,low,Close,volume
2016-03-24,24.6345,24.8848,24.5868,24.8729,1831976
2016-03-28,25.0795,25.0874,24.8331,24.9841,1380352
2016-03-29,24.849,25.3338,24.7353,25.2543,3174297
2016-03-30,25.5881,25.7549,25.4967,25.5086,3218204
2016-03-31,25.4609,25.5943,25.3656,25.4689,2795231
2016-04-01,24.8888,25.294,24.8172,25.2146,3741121
2016-04-04,25.143,25.3099,25.0437,25.2225,4168566
2016-04-05,24.7855,24.849,24.2411,24.3643,5177336
2016-04-06,24.5471,24.9285,24.4874,24.9046,3116977
2016-04-07,24.9444,25.1907,24.8888,25.1748,7020269
2016-04-08,25.4927,25.8423,25.4847,25.6039,5304461
2016-04-11,25.8265,25.8662,25.5761,25.5881,3697986
2016-04-12,25.7311,25.9933,25.5563,25.9377,2476295
2016-04-13,25.8265,25.898,25.6914,25.7947,2195471
2016-04-14,25.5801,25.7788,25.5205,25.7073,1977732
2016-04-15,25.9218,26.1761,25.89,26.0887,2672094
2016-04-18,25.8344,26.1443,25.8344,26.1443,2997907
2016-04-19,26.645,26.9072,26.5416,26.8754,3416867
2016-04-20,26.7324,26.8992,26.7085,26.7483,3477221
2016-04-21,26.8039,26.8039,26.4463,26.5575,3059759
2016-04-22,26.192,26.4701,26.1602,26.4701,3521223
2016-04-25,26.2715,26.5496,26.1721,26.5258,2111611
2016-04-26,26.5099,26.645,26.4185,26.5416,2736211
2016-04-27,26.2635,26.5178,26.1403,26.4383,3661698
2016-04-28,26.1284,26.4224,26.1046,26.2079,5205318
2016-04-29,25.9139,26.0887,25.8483,26.0172,4655101
2016-05-02,26.041,26.2397,26.041,26.2317,2528470
2016-05-03,26.1841,26.2079,25.8543,25.9457,2459094
2016-05-04,25.4609,25.592,25.3735,25.5324,4494650
2016-05-05,25.5086,25.7867,25.445,25.6278,3299929
2016-05-06,25.3973,25.6278,25.2622,25.6198,1895942
2016-05-09,25.596,25.6119,25.3814,25.4927,1916628
2016-05-10,25.5801,25.9377,25.5483,25.9059,1762005
2016-05-11,25.9298,26.0569,25.8185,25.8423,2433542
2016-05-12,26.2476,26.3032,25.9655,26.0966,2639823
2016-05-13,25.7867,26.0308,25.7867,25.8503,2977294
2016-05-16,25.8106,26.045,25.8106,26.0172,3091000
2016-05-17,26.5893,26.8357,26.4026,26.6847,7990545
2016-05-18,26.9469,27.384,26.8834,27.1217,7438830
2016-05-19,26.8595,26.8834,26.4741,26.7244,3641473
2016-05-20,26.78,26.9549,26.7403,26.7562,3848192
2016-05-23,26.4145,26.4781,26.2953,26.3271,3379103
2016-05-24,26.5734,26.8357,26.5575,26.8198,2371094
2016-05-25,27.0661,27.2648,27.0343,27.1694,3023590
2016-05-26,27.2966,27.5588,27.241,27.4078,3395937
2016-05-27,27.2807,27.5747,27.2648,27.5668,3643300
2016-05-31,27.4078,27.4635,26.9072,27.0105,3302266
2016-06-01,26.4781,26.8039,26.4622,26.78,2848113
2016-06-02,26.6608,26.8675,26.6291,26.8516,3152755
2016-06-03,26.788,26.8834,26.5814,26.8754,2066707
2016-06-06,26.8436,27.1138,26.8357,27.0304,3257137
2016-06-07,27.0423,27.2251,27.0343,27.1615,3062163
2016-06-08,27.7927,27.8813,27.7084,27.7927,3084462
2016-06-09,27.43,27.4975,27.0969,27.1686,4424761
2016-06-10,26.3166,26.4632,26.1479,26.2913,6302751
2016-06-13,25.7346,25.9455,25.7262,25.8443,8068582
2016-06-14,25.6081,25.7009,25.2876,25.5744,8483995
2016-06-15,25.7599,25.9202,25.5406,25.6081,4878552
2016-06-16,25.237,25.7346,24.9755,25.7093,6833337
2016-06-17,25.9033,26.0973,25.6925,26.072,5941549
2016-06-20,27.2023,27.274,26.848,26.8818,6783097
2016-06-21,26.789,27.0505,26.6709,26.8565,4487666
2016-06-22,27.042,27.3794,26.9914,27.0083,5006666
2016-06-23,27.5481,27.565,27.1095,27.3879,6181384
2016-06-24,25.1105,25.9624,25.0936,25.4478,16825864
2016-06-27,24.132,24.296,23.55,23.879,18411370
2016-06-28,25.0936,25.0936,24.714,25.0177,10138078
2016-06-29,25.5912,25.7262,25.3466,25.4057,8958308
2016-06-30,25.4057,26.0552,25.3382,26.0552,6282616
2016-07-01,25.9455,26.0854,25.8865,26.0214,3344003
2016-07-05,25.4225,25.6587,25.4057,25.4985,4424295
2016-07-06,24.8152,25.1273,24.6128,25.1105,5892059
2016-07-07,25.3129,25.3255,24.8658,24.9755,3904129
2016-07-08,25.3888,25.3988,25.2347,25.2792,3638882
2016-07-11,25.4141,25.8021,25.3692,25.6925,5453010
2016-07-12,25.625,26.1479,25.5153,26.0636,10454773
2016-07-13,25.8443,26.1479,25.8105,25.8105,5856817
2016-07-14,26.0383,26.0594,25.7768,25.9033,4644284
2016-07-15,25.7937,25.9021,25.6874,25.8527,4187448
2016-07-18,25.6587,25.8021,25.5153,25.7178,5260398
2016-07-19,25.3972,25.4816,25.1948,25.2707,5673591
2016-07-20,25.3719,25.5069,25.2749,25.4478,2939320
2016-07-21,25.2707,25.5659,25.2285,25.3972,3594411
2016-07-22,26.3757,26.5359,26.3419,26.4347,7019229
2016-07-25,26.3166,26.5106,26.2618,26.4263,3759471
2016-07-26,26.2998,26.3974,26.0552,26.1901,2788624
2016-07-27,26.3166,26.3841,26.0045,26.2492,3041019
2016-07-28,26.0299,26.0467,25.8359,25.9708,3947858
2016-07-29,25.8696,26.1814,25.7515,26.0636,2658415
2016-08-01,25.9118,26.1732,25.878,25.9371,2569424
2016-08-02,25.9033,25.9877,25.7768,25.9624,3727969
2016-08-03,25.8696,26.3251,25.8612,26.3082,6296966
2016-08-04,26.1058,26.2492,25.9792,26.1901,4532953
2016-08-05,26.1058,26.2998,26.0552,26.2492,3295036
2016-08-08,25.8949,26.1606,25.8865,26.0805,4888125
2016-08-09,25.8274,26.1058,25.8021,26.0383,3543242
2016-08-10,25.9455,26.0214,25.8443,25.9455,3339998
2016-08-11,26.0636,26.4263,26.013,26.3419,3393143
2016-08-12,26.4685,26.5444,26.304,26.3251,2034032
2016-08-15,26.3335,26.5106,26.3082,26.4347,4249414
2016-08-16,26.3166,26.46,26.266,26.3251,3663110
2016-08-17,26.5022,26.5106,26.2239,26.4432,2258985
2016-08-18,26.46,26.7299,26.4263,26.7215,2824117
2016-08-19,26.3672,26.46,26.2154,26.4094,3386252
2016-08-22,26.3082,26.4347,26.2365,26.4094,3052046
2016-08-23,26.6625,26.7131,26.4516,26.4769,2461846
2016-08-24,26.4938,26.5528,26.4179,26.4685,3086268
2016-08-25,26.4263,26.4347,26.2028,26.2323,2204049
2016-08-26,26.3082,26.5612,26.0172,26.1395,3465159
2016-08-29,26.1058,26.2492,26.0805,26.1817,1351817
2016-08-30,26.013,26.0805,25.7599,25.8359,3982012
2016-08-31,26.013,26.0425,25.7768,25.8527,3260637
2016-09-01,25.6503,25.6756,25.3719,25.4647,3630376
2016-09-02,25.878,26.1142,25.7768,26.0636,3845893
2016-09-06,25.7684,25.9033,25.7178,25.878,3043673
2016-09-07,25.7515,25.8004,25.4311,25.4985,4263677
2016-09-08,25.3466,25.5195,25.3129,25.4647,4732857
2016-09-09,25.3466,25.3466,24.9839,25.0261,5900774
2016-09-12,25.1695,25.7346,25.1067,25.6925,10641485
2016-09-13,25.3045,25.3045,24.8526,25.0177,7463183
2016-09-14,24.7225,24.9755,24.6634,24.8405,7009827
